Date,Actual_Oilprice,ARIMA baseline,SARIMAX + oil + us-index,ANN + oil,ANN + oil + us-index
2012-11-23,87.4,,,,
2012-11-30,87.274,,,,
2012-12-07,87.002,,,,
2012-12-14,85.712,,,,
2012-12-21,88.244,,,,
2012-12-28,90.1425,,,,
2013-01-04,92.765,,,,
2013-01-11,93.38,,,,
2013-01-18,94.582,,,,
2013-01-25,95.4125,,,,
2013-02-01,97.33200000000001,,,,
2013-02-08,96.176,,,,
2013-02-15,96.954,,,,
2013-02-22,94.38,,,,
2013-03-01,92.19,,,,
2013-03-08,91.00399999999999,,,,
2013-03-15,92.7,,,,
2013-03-22,93.04599999999999,,,,
2013-03-29,96.0775,,,,
2013-04-05,95.074,,,,
2013-04-12,93.36,,,,
2013-04-19,88.0,,,,
2013-04-26,90.998,,,,
2013-05-03,93.4,,,,
2013-05-10,95.84400000000001,,,,
2013-05-17,94.648,,,,
2013-05-24,94.756,,,,
2013-05-31,93.32,,,,
2013-06-07,94.25,,,,
2013-06-14,96.35799999999999,,,,
2013-06-21,96.652,,,,
2013-06-28,95.83,,,,
2013-07-05,100.65,,,,
2013-07-12,104.704,,,,
2013-07-19,106.88199999999999,,,,
2013-07-26,105.876,,,,
2013-08-02,105.54400000000001,,,,
2013-08-09,105.16600000000001,,,,
2013-08-16,106.974,,,,
2013-08-23,105.476,,,,
2013-08-30,108.33,,,,
2013-09-06,108.77000000000001,,,,
2013-09-13,108.356,,,,
2013-09-20,106.218,,,,
2013-09-27,103.096,,,,
2013-10-04,103.144,,,,
2013-10-11,102.69800000000001,,,,
2013-10-18,101.50800000000001,,,,
2013-10-25,97.572,,,,
2013-11-01,96.938,,,,
2013-11-08,94.306,,,,
2013-11-15,93.944,,,,
2013-11-22,93.92,,,,
2013-11-29,92.9675,,,,
2013-12-06,96.20599999999999,,,,
2013-12-13,97.22999999999999,,,,
2013-12-20,97.854,,,,
2013-12-27,99.1525,,,,
2014-01-03,96.4675,,,,
2014-01-10,92.41600000000001,,,,
2014-01-17,92.976,,,,
2014-01-24,95.797,,,,
2014-01-31,97.28999999999999,,,,
2014-02-07,97.78,,,,
2014-02-14,100.208,,,,
2014-02-21,102.9325,,,,
2014-02-28,102.772,,,,
2014-03-07,103.074,,,,
2014-03-14,99.554,,,,
2014-03-21,99.774,,,,
2014-03-28,100.66,,,,
2014-04-04,100.462,,,,
2014-04-11,102.72,,,,
2014-04-18,103.94749999999999,,,,
2014-04-25,102.112,,,,
2014-05-02,100.508,,,,
2014-05-09,100.28999999999999,,,,
2014-05-16,101.916,,,,
2014-05-23,103.82000000000001,,,,
2014-05-30,104.141,,,,
2014-06-06,103.234,,,,
2014-06-13,105.968,,,,
2014-06-20,107.228,,,,
2014-06-27,106.69200000000001,,,,
2014-07-04,105.5175,,,,
2014-07-11,103.25399999999999,,,,
2014-07-18,102.36800000000001,,,,
2014-07-25,104.346,,,,
2014-08-01,102.194,,,,
2014-08-08,97.49600000000001,,,,
2014-08-15,97.172,,,,
2014-08-22,94.954,,,,
2014-08-29,96.258,,,,
2014-09-05,94.0625,,,,
2014-09-12,92.42999999999999,,,,
2014-09-19,93.52000000000001,,,,
2014-09-26,93.15,,,,
2014-10-03,91.444,,,,
2014-10-10,87.628,,,,
2014-10-17,82.88,,,,
2014-10-24,82.122,,,,
2014-10-31,81.292,,,,
2014-11-07,78.24199999999999,,,,
2014-11-14,76.49600000000001,,,,
2014-11-21,75.378,,,,
2014-11-28,72.355,,,,
2014-12-05,67.178,,,,
2014-12-12,61.136,,,,
2014-12-19,55.89,,,,
2014-12-26,55.58,,,,
2015-01-02,53.4425,,,,
2015-01-09,48.774,,,,
2015-01-16,47.066,,,,
2015-01-23,46.457499999999996,,,,
2015-01-30,45.326,,,,
2015-02-06,50.576,,,,
2015-02-13,51.136,,,,
2015-02-20,51.974000000000004,,,,
2015-02-27,49.156,,,,
2015-03-06,50.384,,,,
2015-03-13,47.686,,,,
2015-03-20,44.394,,,,
2015-03-27,48.684,,,,
2015-04-03,48.9075,,,,
2015-04-10,51.778,,,,
2015-04-17,54.779999999999994,,,,
2015-04-24,56.138,,,,
2015-05-01,57.976,,,,
2015-05-08,59.726,,,,
2015-05-15,60.013999999999996,,,,
2015-05-22,58.952,,,,
2015-05-29,58.185,,,,
2015-06-05,59.664,,,,
2015-06-12,60.072,,,,
2015-06-19,59.891999999999996,,,,
2015-06-26,60.013999999999996,,,,
2015-07-03,57.278999999999996,,,,
2015-07-10,52.384,,,,
2015-07-17,51.684000000000005,,,,
2015-07-24,49.212,,,,
2015-07-31,47.910000000000004,,,,
2015-08-07,44.938,,,,
2015-08-14,43.198,,,,
2015-08-21,41.342,,,,
2015-08-28,40.726,,,,
2015-09-04,46.730000000000004,,,,
2015-09-11,45.324,,,,
2015-09-18,45.482,,,,
2015-09-25,45.572,,,,
2015-10-02,44.998000000000005,,,,
2015-10-09,48.36,,,,
2015-10-16,46.82000000000001,,,,
2015-10-23,45.156,,,,
2015-10-30,44.989999999999995,,,,
2015-11-06,45.982,,,,
2015-11-13,42.696,,,,
2015-11-20,40.62,,,,
2015-11-27,40.569,,,,
2015-12-04,40.403999999999996,,,,
2015-12-11,36.934,,,,
2015-12-18,35.775999999999996,,,,
2015-12-25,36.262499999999996,,,,
2016-01-01,36.99,,,,
2016-01-08,34.648,,,,
2016-01-15,30.586000000000002,,,,
2016-01-22,29.146000000000004,,,,
2016-01-29,31.808,,,,
2016-02-05,31.26,,,,
2016-02-12,28.144,,,,
2016-02-19,30.0225,,,,
2016-02-26,31.322000000000003,,,,
2016-03-04,34.434000000000005,,,,
2016-03-11,37.694,,,,
2016-03-18,38.318,,,,
2016-03-25,39.445,,,,
2016-04-01,36.821999999999996,,,,
2016-04-08,36.72,,,,
2016-04-15,41.226,,,,
2016-04-22,41.856,,,,
2016-04-29,44.298,,,,
2016-05-06,44.215999999999994,,,,
2016-05-13,45.44,,,,
2016-05-20,47.992,,,,
2016-05-27,48.724000000000004,,,,
2016-06-03,49.0,,,,
2016-06-10,50.184000000000005,,,,
2016-06-17,47.888,,,,
2016-06-24,48.71,,,,
2016-07-01,48.174,,,,
2016-07-08,46.513,,,,
2016-07-15,45.598,,,,
2016-07-22,44.44,,,,
2016-07-29,41.826,,,,
2016-08-05,40.82,,,,
2016-08-12,43.114,,,,
2016-08-19,47.156,,,,
2016-08-26,47.048,,,,
2016-09-02,45.106,,,,
2016-09-09,45.690000000000005,,,,
2016-09-16,44.339999999999996,,,,
2016-09-23,44.596000000000004,,,,
2016-09-30,46.552,,,,
2016-10-07,49.483999999999995,,,,
2016-10-14,50.288,,,,
2016-10-21,50.556,,,,
2016-10-28,49.362,,,,
2016-11-04,45.507999999999996,,,,
2016-11-11,44.61,,,,
2016-11-18,45.153999999999996,,,,
2016-11-25,47.141999999999996,,,,
2016-12-02,48.628,,,,
2016-12-09,50.974000000000004,,,,
2016-12-16,51.914,,,,
2016-12-23,51.955999999999996,,,,
2016-12-30,53.595,,,,
2017-01-06,53.3425,,,,
2017-01-13,52.065999999999995,,,,
2017-01-20,51.939,,,,
2017-01-27,52.742000000000004,,,,
2017-02-03,53.327999999999996,,,,
2017-02-10,52.879999999999995,,,,
2017-02-17,53.220000000000006,,,,
2017-02-24,53.963,,,,
2017-03-03,53.564,,,,
2017-03-10,50.5,,,,
2017-03-17,48.034000000000006,,,,
2017-03-24,47.28,,,,
2017-03-31,49.138,,,,
2017-04-07,51.263999999999996,,,,
2017-04-14,53.1875,,,,
2017-04-21,51.094,,,,
2017-04-28,49.122,,,,
2017-05-05,47.209999999999994,,,,
2017-05-12,47.044,,,,
2017-05-19,49.244,,,,
2017-05-26,50.214,,,,
2017-06-02,48.705,,,,
2017-06-09,46.565999999999995,,,,
2017-06-16,45.3,,,,
2017-06-23,43.089999999999996,,,,
2017-06-30,44.626,,,,
2017-07-07,45.202,,,,
2017-07-14,45.506,,,,
2017-07-21,46.406,,,,
2017-07-28,48.266,,,,
2017-08-04,49.519999999999996,,,,
2017-08-11,49.076,,,,
2017-08-18,47.524,,,,
2017-08-25,47.676,,,,
2017-09-01,46.68,,,,
2017-09-08,48.455,,,,
